id,source,target,sourceName,targetName,x1,y1,z1,x2,y2,z2
1,1,4,F_9-10,L4_H_F_9-11,-285.3807198998,160.6950040883,-291,-323.66828221,163.0973609392,-291
2,1,28,F_9-10,L4_H_F_9-33,-285.3807198998,160.6950040883,-291,-240.4866762499,133.9687841228,-291
3,1,37,F_9-10,L4_H_F_9-9,-285.3807198998,160.6950040883,-291,-257.6034688121,127.9628919957,-291
4,2,5,F_L4_H_9-8,L4_H_F_9-12,-352.49656442,118.9540538051,-291,-337.4818341023,128.4133339053,-291
5,2,30,F_L4_H_9-8,L4_H_F_9-35,-352.49656442,118.9540538051,-291,-365.5593797964,103.4888815779,-291
6,2,36,F_L4_H_9-8,L4_H_F_9-7,-352.49656442,118.9540538051,-291,-325.6201971513,104.8402073065,-291
7,3,13,L4_H_F_9-1,L4_H_F_9-2,-300.6957448239,279.7618155077,-291,-302.9479543716,82.6184064363,-291
8,3,22,L4_H_F_9-1,L4_H_F_9-28,-300.6957448239,279.7618155077,-291,-366.7605582218,265.9482636155,-291
9,3,23,L4_H_F_9-1,L4_H_F_9-29,-300.6957448239,279.7618155077,-291,-313.458265594,275.4075437156,-291
10,3,25,L4_H_F_9-1,L4_H_F_9-30,-300.6957448239,279.7618155077,-291,-279.6751223791,270.1523881044,-291
11,3,32,L4_H_F_9-1,L4_H_F_9-37,-300.6957448239,279.7618155077,-291,-226.0725351449,256.6391308185,-291
12,3,527,L4_H_F_9-1,mL3-L4-1,-300.6957448239,279.7618155077,-291,-301.2963340366,280.3624047205,-275
13,3,695,L4_H_F_9-1,mL4_L-1,-300.6957448239,279.7618155077,-291,-302.1972178557,277.5096059601,-306
14,4,5,L4_H_F_9-11,L4_H_F_9-12,-323.66828221,163.0973609392,-291,-337.4818341023,128.4133339053,-291
15,4,27,L4_H_F_9-11,L4_H_F_9-32,-323.66828221,163.0973609392,-291,-361.2051080043,130.3652488466,-291
16,5,27,L4_H_F_9-12,L4_H_F_9-32,-337.4818341023,128.4133339053,-291,-361.2051080043,130.3652488466,-291
17,6,7,L4_H_F_9-13,L4_H_F_9-14,-399.7929649208,117.152286167,-291,-392.7360416714,105.4407965192,-291
18,6,26,L4_H_F_9-13,L4_H_F_9-31,-399.7929649208,117.152286167,-291,-381.32484663,245.8285249897,-291
19,6,27,L4_H_F_9-13,L4_H_F_9-32,-399.7929649208,117.152286167,-291,-361.2051080043,130.3652488466,-291
20,7,8,L4_H_F_9-14,L4_H_F_9-15,-392.7360416714,105.4407965192,-291,-378.6221951728,98.3838732699,-291
21,7,16,L4_H_F_9-14,L4_H_F_9-22,-392.7360416714,105.4407965192,-291,-399.9431122239,111.1463940399,-291
22,7,17,L4_H_F_9-14,L4_H_F_9-23,-392.7360416714,105.4407965192,-291,-409.2522450209,110.395657524,-291
23,8,9,L4_H_F_9-15,L4_H_F_9-16,-378.6221951728,98.3838732699,-291,-372.4661557425,79.3151657664,-291
24,8,30,L4_H_F_9-15,L4_H_F_9-35,-378.6221951728,98.3838732699,-291,-365.5593797964,103.4888815779,-291
25,9,13,L4_H_F_9-16,L4_H_F_9-2,-372.4661557425,79.3151657664,-291,-302.9479543716,82.6184064363,-291
26,9,30,L4_H_F_9-16,L4_H_F_9-35,-372.4661557425,79.3151657664,-291,-365.5593797964,103.4888815779,-291
27,10,11,L4_H_F_9-17,L4_H_F_9-18,-232.5288691815,84.7204686808,-291,-227.5740081767,103.7891761842,-291
28,10,13,L4_H_F_9-17,L4_H_F_9-2,-232.5288691815,84.7204686808,-291,-302.9479543716,82.6184064363,-291
29,10,29,L4_H_F_9-17,L4_H_F_9-34,-232.5288691815,84.7204686808,-291,-235.8321098514,106.3416803382,-291
30,11,12,L4_H_F_9-18,L4_H_F_9-19,-227.5740081767,103.7891761842,-291,-214.0607508907,112.4977197685,-291
31,11,29,L4_H_F_9-18,L4_H_F_9-34,-227.5740081767,103.7891761842,-291,-235.8321098514,106.3416803382,-291
32,12,14,L4_H_F_9-19,L4_H_F_9-20,-214.0607508907,112.4977197685,-291,-210.1569210081,118.3534645924,-291
33,12,18,L4_H_F_9-19,L4_H_F_9-24,-214.0607508907,112.4977197685,-291,-200.3973463016,116.5516969543,-291
34,13,24,L4_H_F_9-2,L4_H_F_9-3,-302.9479543716,82.6184064363,-291,-305.2001639192,97.7832840572,-291
35,13,538,L4_H_F_9-2,mL3-L4-2,-302.9479543716,82.6184064363,-291,-301.2963340366,81.1169334045,-275
36,13,693,L4_H_F_9-2,mL4_H-38,-302.9479543716,82.6184064363,-291,-284.3837980242,69.9205356751,-291
37,13,694,L4_H_F_9-2,mL4_H-39,-302.9479543716,82.6184064363,-291,-318.7398902305,70.7741031833,-291
38,13,706,L4_H_F_9-2,mL4_L-2,-302.9479543716,82.6184064363,-291,-301.596628643,88.7744458665,-306
39,14,15,L4_H_F_9-20,L4_H_F_9-21,-210.1569210081,118.3534645924,-291,-210.4572156145,125.8608297513,-291
40,14,21,L4_H_F_9-20,L4_H_F_9-27,-210.1569210081,118.3534645924,-291,-212.1088359494,233.6665934324,-291
41,15,25,L4_H_F_9-21,L4_H_F_9-30,-210.4572156145,125.8608297513,-291,-279.6751223791,270.1523881044,-291
42,15,28,L4_H_F_9-21,L4_H_F_9-33,-210.4572156145,125.8608297513,-291,-240.4866762499,133.9687841228,-291
43,16,26,L4_H_F_9-22,L4_H_F_9-31,-399.9431122239,111.1463940399,-291,-381.32484663,245.8285249897,-291
44,17,22,L4_H_F_9-23,L4_H_F_9-28,-409.2522450209,110.395657524,-291,-366.7605582218,265.9482636155,-291
45,17,31,L4_H_F_9-23,L4_H_F_9-36,-409.2522450209,110.395657524,-291,-398.291491889,241.7745478039,-291
46,18,20,L4_H_F_9-24,L4_H_F_9-26,-200.3973463016,116.5516969543,-291,-205.5023546097,238.6214544372,-291
47,18,32,L4_H_F_9-24,L4_H_F_9-37,-200.3973463016,116.5516969543,-291,-226.0725351449,256.6391308185,-291
48,19,20,L4_H_F_9-25,L4_H_F_9-26,-217.8144334702,244.4771992611,-291,-205.5023546097,238.6214544372,-291
49,19,21,L4_H_F_9-25,L4_H_F_9-27,-217.8144334702,244.4771992611,-291,-212.1088359494,233.6665934324,-291
50,19,25,L4_H_F_9-25,L4_H_F_9-30,-217.8144334702,244.4771992611,-291,-279.6751223791,270.1523881044,-291
51,19,32,L4_H_F_9-25,L4_H_F_9-37,-217.8144334702,244.4771992611,-291,-226.0725351449,256.6391308185,-291
52,22,31,L4_H_F_9-28,L4_H_F_9-36,-366.7605582218,265.9482636155,-291,-398.291491889,241.7745478039,-291
53,23,26,L4_H_F_9-29,L4_H_F_9-31,-313.458265594,275.4075437156,-291,-381.32484663,245.8285249897,-291
54,24,33,L4_H_F_9-3,L4_H_F_9-4,-305.2001639192,97.7832840572,-291,-297.9930933667,115.9511077416,-291
55,24,34,L4_H_F_9-3,L4_H_F_9-5,-305.2001639192,97.7832840572,-291,-309.5544357114,116.5516969543,-291
56,26,31,L4_H_F_9-31,L4_H_F_9-36,-381.32484663,245.8285249897,-291,-398.291491889,241.7745478039,-291
57,28,37,L4_H_F_9-33,L4_H_F_9-9,-240.4866762499,133.9687841228,-291,-257.6034688121,127.9628919957,-291
58,29,37,L4_H_F_9-34,L4_H_F_9-9,-235.8321098514,106.3416803382,-291,-257.6034688121,127.9628919957,-291
