id,name,x,y,z
1,F_9-10,1983,1586,-291.0
2,F_L4_H_9-8,2449,1876,-291.0
3,L4_H_F_9-1,2089,759,-291.0
4,L4_H_F_9-11,2249,1569,-291.0
5,L4_H_F_9-12,2345,1810,-291.0
6,L4_H_F_9-13,2777,1888,-291.0
7,L4_H_F_9-14,2728,1970,-291.0
8,L4_H_F_9-15,2630,2019,-291.0
9,L4_H_F_9-16,2588,2151,-291.0
10,L4_H_F_9-17,1616,2114,-291.0
11,L4_H_F_9-18,1581,1981,-291.0
12,L4_H_F_9-19,1488,1921,-291.0
13,L4_H_F_9-2,2105,2128,-291.0
14,L4_H_F_9-20,1460,1880,-291.0
15,L4_H_F_9-21,1463,1828,-291.0
16,L4_H_F_9-22,2778,1930,-291.0
17,L4_H_F_9-23,2843,1935,-291.0
18,L4_H_F_9-24,1393,1893,-291.0
19,L4_H_F_9-25,1514,1004,-291.0
20,L4_H_F_9-26,1428,1045,-291.0
21,L4_H_F_9-27,1474,1079,-291.0
22,L4_H_F_9-28,2548,855,-291.0
23,L4_H_F_9-29,2178,789,-291.0
24,L4_H_F_9-3,2120,2023,-291.0
25,L4_H_F_9-30,1943,826,-291.0
26,L4_H_F_9-31,2649,995,-291.0
27,L4_H_F_9-32,2509,1797,-291.0
28,L4_H_F_9-33,1671,1772,-291.0
29,L4_H_F_9-34,1639,1964,-291.0
30,L4_H_F_9-35,2540,1983,-291.0
31,L4_H_F_9-36,2767,1023,-291.0
32,L4_H_F_9-37,1571,920,-291.0
33,L4_H_F_9-4,2070,1897,-291.0
34,L4_H_F_9-5,2151,1893,-291.0
35,L4_H_F_9-6,1945,1957,-291.0
36,L4_H_F_9-7,2262,1974,-291.0
37,L4_H_F_9-9,1790,1813,-291.0
38,mL1-L2-1,2121,697,-201.0
39,mL1-L2-10,1245,1259,-201.0
40,mL1-L2-11,1447,972,-201.0
41,mL1-L2-12,1471,999,-201.0
42,mL1-L2-13,1271,1287,-201.0
43,mL1-L2-14,1138,1595,-201.0
44,mL1-L2-15,1163,1596,-201.0
45,mL1-L2-16,1159,1672,-201.0
46,mL1-L2-17,1139,1690,-201.0
47,mL1-L2-18,1250,1985,-201.0
48,mL1-L2-19,1271,1968,-201.0
49,mL1-L2-2,2086,2264,-201.0
50,mL1-L2-20,1341,2042,-201.0
51,mL1-L2-21,1327,2054,-201.0
52,mL1-L2-22,1282,2028,-201.0
53,mL1-L2-23,1548,2117,-201.0
54,mL1-L2-24,1622,2104,-201.0
55,mL1-L2-26,1628,2141,-201.0
56,mL1-L2-27,1571,2142,-201.0
57,mL1-L2-28,2073,2220,-201.0
58,mL1-L2-29,2115,2222,-201.0
59,mL1-L2-3,1543,826,-201.0
60,mL1-L2-30,1951,2024,-201.0
61,mL1-L2-31,1932,1902,-201.0
62,mL1-L2-32,1912,1770,-201.0
63,mL1-L2-33,1936,1714,-201.0
64,mL1-L2-34,2058,1645,-201.0
65,mL1-L2-35,2154,1657,-201.0
66,mL1-L2-36,2188,1677,-201.0
67,mL1-L2-37,2233,1714,-201.0
68,mL1-L2-38,2233,1908,-201.0
69,mL1-L2-39,2209,2023,-201.0
70,mL1-L2-4,1518,876,-201.0
71,mL1-L2-40,2157,2245,-201.0
72,mL1-L2-41,2011,2246,-201.0
73,mL1-L2-42,2431,2405,-201.0
74,mL1-L2-43,1746,2389,-201.0
75,mL1-L2-44,2614,2143,-201.0
76,mL1-L2-45,2625,2116,-201.0
77,mL1-L2-46,2557,2109,-201.0
78,mL1-L2-47,2544,2124,-201.0
79,mL1-L2-48,2307,1972,-201.0
80,mL1-L2-49,2365,1929,-201.0
81,mL1-L2-5,1572,884,-201.0
82,mL1-L2-50,1488,2217,-201.0
83,mL1-L2-51,1535,2287,-201.0
84,mL1-L2-52,1710,1962,-201.0
85,mL1-L2-53,1873,1976,-201.0
86,mL1-L2-54,2821,2030,-201.0
87,mL1-L2-55,2844,2043,-201.0
88,mL1-L2-56,2917,1962,-201.0
89,mL1-L2-57,2889,1956,-201.0
90,mL1-L2-58,3001,1672,-201.0
91,mL1-L2-59,3037,1671,-201.0
92,mL1-L2-6,1790,818,-201.0
93,mL1-L2-60,3030,1587,-201.0
94,mL1-L2-61,2992,1579,-201.0
95,mL1-L2-62,2960,1252,-201.0
96,mL1-L2-63,2923,1267,-201.0
97,mL1-L2-64,2883,1058,-201.0
98,mL1-L2-65,2859,1109,-201.0
99,mL1-L2-66,1077,1760,-201.0
100,mL1-L2-67,1193,1947,-201.0
101,mL1-L2-68,1222,1929,-201.0
102,mL1-L2-69,3037,1843,-201.0
103,mL1-L2-7,2719,873,-201.0
104,mL1-L2-70,2950,1945,-201.0
105,mL1-L2-71,2932,1926,-201.0
106,mL1-L2-72,1348,2134,-201.0
107,mL1-L2-73,2716,2208,-201.0
108,mL1-L2-74,2856,2073,-201.0
109,mL1-L2-75,1259,1339,-201.0
110,mL1-L2-76,1206,1381,-201.0
111,mL1-L2-77,1392,2095,-201.0
112,mL1-L2-78,2971,1417,-201.0
113,mL1-L2-79,2915,1318,-201.0
114,mL1-L2-8,2674,891,-201.0
115,mL1-L2-80,2940,1357,-201.0
116,mL1-L2-81,2875,2021,-201.0
117,mL1-L2-9,2460,810,-201.0
118,mL1_H-1,2127,702,-187.0
119,mL1_H-10,1089,1652,-187.0
120,mL1_H-100,1158,1664,-187.0
121,mL1_H-101,1189,1852,-187.0
122,mL1_H-102,2984,1448,-187.0
123,mL1_H-103,2958,1860,-187.0
124,mL1_H-11,1132,1651,-187.0
125,mL1_H-12,1171,1361,-187.0
126,mL1_H-13,1209,1268,-187.0
127,mL1_H-14,1241,1136,-187.0
128,mL1_H-15,1548,874,-187.0
129,mL1_H-16,3063,1693,-187.0
130,mL1_H-17,3024,1666,-187.0
131,mL1_H-18,3010,1360,-187.0
132,mL1_H-19,2994,1270,-187.0
133,mL1_H-2,2078,2300,-187.0
134,mL1_H-20,2948,1111,-187.0
135,mL1_H-21,2859,989,-187.0
136,mL1_H-22,2827,968,-187.0
137,mL1_H-23,2783,947,-187.0
138,mL1_H-24,2770,971,-187.0
139,mL1_H-25,2806,990,-187.0
140,mL1_H-26,2841,1042,-187.0
141,mL1_H-27,2876,1098,-187.0
142,mL1_H-28,2917,1141,-187.0
143,mL1_H-29,1299,1144,-187.0
144,mL1_H-3,1844,797,-187.0
145,mL1_H-30,1121,1697,-187.0
146,mL1_H-31,1768,2394,-187.0
147,mL1_H-32,1494,2256,-187.0
148,mL1_H-33,1463,2224,-187.0
149,mL1_H-34,1397,2141,-187.0
150,mL1_H-35,1293,2062,-187.0
151,mL1_H-36,1273,2028,-187.0
152,mL1_H-37,1231,1975,-187.0
153,mL1_H-38,1165,1832,-187.0
154,mL1_H-39,1154,1795,-187.0
155,mL1_H-4,1587,863,-187.0
156,mL1_H-40,1396,2106,-187.0
157,mL1_H-41,1310,2040,-187.0
158,mL1_H-42,1150,1700,-187.0
159,mL1_H-43,3030,1779,-187.0
160,mL1_H-44,2424,2383,-187.0
161,mL1_H-45,2635,2282,-187.0
162,mL1_H-46,2822,2098,-187.0
163,mL1_H-47,2859,2046,-187.0
164,mL1_H-48,2982,1873,-187.0
165,mL1_H-49,2077,2213,-187.0
166,mL1_H-5,1518,861,-187.0
167,mL1_H-50,2075,2086,-187.0
168,mL1_H-51,2136,2052,-187.0
169,mL1_H-52,2222,2095,-187.0
170,mL1_H-53,2148,2260,-187.0
171,mL1_H-54,2658,2230,-187.0
172,mL1_H-56,2545,2157,-187.0
173,mL1_H-57,2431,2122,-187.0
174,mL1_H-58,2333,2067,-187.0
175,mL1_H-59,2021,2256,-187.0
176,mL1_H-6,1545,822,-187.0
177,mL1_H-60,2026,2054,-187.0
178,mL1_H-61,1936,2082,-187.0
179,mL1_H-62,1825,2076,-187.0
180,mL1_H-63,1745,2105,-187.0
181,mL1_H-64,1671,2142,-187.0
182,mL1_H-65,1614,2129,-187.0
183,mL1_H-66,1465,2143,-187.0
184,mL1_H-67,2617,2125,-187.0
185,mL1_H-68,2710,2149,-187.0
186,mL1_H-69,2542,2125,-187.0
187,mL1_H-7,2421,799,-187.0
188,mL1_H-70,1933,1776,-187.0
