id,name,x,y,z,x1,y1,z1,x2,y2,z2
1,F_9-10,-285.3807199,160.6950041,-291,1115,1983,291,1586,1983,291
2,F_L4_H_9-8,-352.4965644,118.9540538,-291,825,2449,291,1876,2449,291
3,L4_H_F_9-1,-300.6957448,279.7618155,-291,1942,2089,291,759,2089,291
4,L4_H_F_9-11,-323.6682822,163.0973609,-291,1132,2249,291,1569,2249,291
5,L4_H_F_9-12,-337.4818341,128.4133339,-291,891,2345,291,1810,2345,291
6,L4_H_F_9-13,-399.7929649,117.1522862,-291,813,2777,291,1888,2777,291
7,L4_H_F_9-14,-392.7360417,105.4407965,-291,731,2728,291,1970,2728,291
8,L4_H_F_9-15,-378.6221952,98.38387327,-291,682,2630,291,2019,2630,291
9,L4_H_F_9-16,-372.4661557,79.31516577,-291,550,2588,291,2151,2588,291
10,L4_H_F_9-17,-232.5288692,84.72046868,-291,587,1616,291,2114,1616,291
11,L4_H_F_9-18,-227.5740082,103.7891762,-291,720,1581,291,1981,1581,291
12,L4_H_F_9-19,-214.0607509,112.4977198,-291,780,1488,291,1921,1488,291
13,L4_H_F_9-2,-302.9479544,82.61840644,-291,573,2105,291,2128,2105,291
14,L4_H_F_9-20,-210.156921,118.3534646,-291,821,1460,291,1880,1460,291
15,L4_H_F_9-21,-210.4572156,125.8608298,-291,873,1463,291,1828,1463,291
16,L4_H_F_9-22,-399.9431122,111.146394,-291,771,2778,291,1930,2778,291
17,L4_H_F_9-23,-409.252245,110.3956575,-291,766,2843,291,1935,2843,291
18,L4_H_F_9-24,-200.3973463,116.551697,-291,808,1393,291,1893,1393,291
19,L4_H_F_9-25,-217.8144335,244.4771993,-291,1697,1514,291,1004,1514,291
20,L4_H_F_9-26,-205.5023546,238.6214544,-291,1656,1428,291,1045,1428,291
21,L4_H_F_9-27,-212.1088359,233.6665934,-291,1622,1474,291,1079,1474,291
22,L4_H_F_9-28,-366.7605582,265.9482636,-291,1846,2548,291,855,2548,291
23,L4_H_F_9-29,-313.4582656,275.4075437,-291,1912,2178,291,789,2178,291
24,L4_H_F_9-3,-305.2001639,97.78328406,-291,678,2120,291,2023,2120,291
25,L4_H_F_9-30,-279.6751224,270.1523881,-291,1875,1943,291,826,1943,291
26,L4_H_F_9-31,-381.3248466,245.828525,-291,1706,2649,291,995,2649,291
27,L4_H_F_9-32,-361.205108,130.3652488,-291,904,2509,291,1797,2509,291
28,L4_H_F_9-33,-240.4866762,133.9687841,-291,929,1671,291,1772,1671,291
29,L4_H_F_9-34,-235.8321099,106.3416803,-291,737,1639,291,1964,1639,291
30,L4_H_F_9-35,-365.5593798,103.4888816,-291,718,2540,291,1983,2540,291
31,L4_H_F_9-36,-398.2914919,241.7745478,-291,1678,2767,291,1023,2767,291
32,L4_H_F_9-37,-226.0725351,256.6391308,-291,1781,1571,291,920,1571,291
33,L4_H_F_9-4,-297.9930934,115.9511077,-291,804,2070,291,1897,2070,291
34,L4_H_F_9-5,-309.5544357,116.551697,-291,808,2151,291,1893,2151,291
35,L4_H_F_9-6,-279.975417,107.2425642,-291,744,1945,291,1957,1945,291
36,L4_H_F_9-7,-325.6201972,104.8402073,-291,727,2262,291,1974,2262,291
37,L4_H_F_9-9,-257.6034688,127.962892,-291,888,1790,291,1813,1790,291
38,mL1-L2-1,-305.2536101,288.6573352,-201,2004,2121,201,697,2121,201
39,mL1-L2-10,-179.1491296,207.7374302,-201,1442,1245,201,1259,1245,201
40,mL1-L2-11,-208.1840849,249.1423073,-201,1729,1447,201,972,1447,201
41,mL1-L2-12,-211.6201743,245.1908045,-201,1702,1471,201,999,1471,201
42,mL1-L2-13,-182.9288279,203.7859274,-201,1414,1271,201,1287,1271,201
43,mL1-L2-14,-163.6867274,159.4603743,-201,1106,1138,201,1595,1138,201
44,mL1-L2-15,-167.2946212,159.2885698,-201,1105,1163,201,1596,1163,201
