id,source,target,sourceName,targetName
1,1,4,F_9-10,L4_H_F_9-11
2,1,28,F_9-10,L4_H_F_9-33
3,1,37,F_9-10,L4_H_F_9-9
4,2,5,F_L4_H_9-8,L4_H_F_9-12
5,2,30,F_L4_H_9-8,L4_H_F_9-35
6,2,36,F_L4_H_9-8,L4_H_F_9-7
7,3,13,L4_H_F_9-1,L4_H_F_9-2
8,3,22,L4_H_F_9-1,L4_H_F_9-28
9,3,23,L4_H_F_9-1,L4_H_F_9-29
10,3,25,L4_H_F_9-1,L4_H_F_9-30
11,3,32,L4_H_F_9-1,L4_H_F_9-37
12,3,527,L4_H_F_9-1,mL3-L4-1
13,3,695,L4_H_F_9-1,mL4_L-1
14,4,5,L4_H_F_9-11,L4_H_F_9-12
15,4,27,L4_H_F_9-11,L4_H_F_9-32
16,5,27,L4_H_F_9-12,L4_H_F_9-32
17,6,7,L4_H_F_9-13,L4_H_F_9-14
18,6,26,L4_H_F_9-13,L4_H_F_9-31
19,6,27,L4_H_F_9-13,L4_H_F_9-32
20,7,8,L4_H_F_9-14,L4_H_F_9-15
21,7,16,L4_H_F_9-14,L4_H_F_9-22
22,7,17,L4_H_F_9-14,L4_H_F_9-23
23,8,9,L4_H_F_9-15,L4_H_F_9-16
24,8,30,L4_H_F_9-15,L4_H_F_9-35
25,9,13,L4_H_F_9-16,L4_H_F_9-2
26,9,30,L4_H_F_9-16,L4_H_F_9-35
27,10,11,L4_H_F_9-17,L4_H_F_9-18
28,10,13,L4_H_F_9-17,L4_H_F_9-2
29,10,29,L4_H_F_9-17,L4_H_F_9-34
30,11,12,L4_H_F_9-18,L4_H_F_9-19
31,11,29,L4_H_F_9-18,L4_H_F_9-34
32,12,14,L4_H_F_9-19,L4_H_F_9-20
33,12,18,L4_H_F_9-19,L4_H_F_9-24
34,13,24,L4_H_F_9-2,L4_H_F_9-3
35,13,538,L4_H_F_9-2,mL3-L4-2
36,13,693,L4_H_F_9-2,mL4_H-38
37,13,694,L4_H_F_9-2,mL4_H-39
38,13,706,L4_H_F_9-2,mL4_L-2
39,14,15,L4_H_F_9-20,L4_H_F_9-21
40,14,21,L4_H_F_9-20,L4_H_F_9-27
41,15,25,L4_H_F_9-21,L4_H_F_9-30
42,15,28,L4_H_F_9-21,L4_H_F_9-33
43,16,26,L4_H_F_9-22,L4_H_F_9-31
44,17,22,L4_H_F_9-23,L4_H_F_9-28
45,17,31,L4_H_F_9-23,L4_H_F_9-36
46,18,20,L4_H_F_9-24,L4_H_F_9-26
47,18,32,L4_H_F_9-24,L4_H_F_9-37
48,19,20,L4_H_F_9-25,L4_H_F_9-26
49,19,21,L4_H_F_9-25,L4_H_F_9-27
50,19,25,L4_H_F_9-25,L4_H_F_9-30
51,19,32,L4_H_F_9-25,L4_H_F_9-37
52,22,31,L4_H_F_9-28,L4_H_F_9-36
53,23,26,L4_H_F_9-29,L4_H_F_9-31
54,24,33,L4_H_F_9-3,L4_H_F_9-4
55,24,34,L4_H_F_9-3,L4_H_F_9-5
56,26,31,L4_H_F_9-31,L4_H_F_9-36
57,28,37,L4_H_F_9-33,L4_H_F_9-9
58,29,37,L4_H_F_9-34,L4_H_F_9-9
59,33,34,L4_H_F_9-4,L4_H_F_9-5
60,33,35,L4_H_F_9-4,L4_H_F_9-6
61,34,36,L4_H_F_9-5,L4_H_F_9-7
62,35,37,L4_H_F_9-6,L4_H_F_9-9
63,35,693,L4_H_F_9-6,mL4_H-38
64,36,694,L4_H_F_9-7,mL4_H-39
65,38,49,mL1-L2-1,mL1-L2-2
66,38,59,mL1-L2-1,mL1-L2-3
67,38,92,mL1-L2-1,mL1-L2-6
68,38,103,mL1-L2-1,mL1-L2-7
69,38,117,mL1-L2-1,mL1-L2-9
70,38,219,mL1-L2-1,mL1_L-1
71,38,390,mL1-L2-1,mL2_H-1
72,39,40,mL1-L2-10,mL1-L2-11
73,39,42,mL1-L2-10,mL1-L2-13
74,39,43,mL1-L2-10,mL1-L2-14
75,40,41,mL1-L2-11,mL1-L2-12
76,40,70,mL1-L2-11,mL1-L2-4
77,41,42,mL1-L2-12,mL1-L2-13
78,41,81,mL1-L2-12,mL1-L2-5
79,42,109,mL1-L2-13,mL1-L2-75
80,43,44,mL1-L2-14,mL1-L2-15
81,43,46,mL1-L2-14,mL1-L2-17
82,44,45,mL1-L2-15,mL1-L2-16
83,44,110,mL1-L2-15,mL1-L2-76
84,45,46,mL1-L2-16,mL1-L2-17
85,45,48,mL1-L2-16,mL1-L2-19
86,46,101,mL1-L2-17,mL1-L2-68
87,47,48,mL1-L2-18,mL1-L2-19
88,47,52,mL1-L2-18,mL1-L2-22
89,47,100,mL1-L2-18,mL1-L2-67
90,48,50,mL1-L2-19,mL1-L2-20
91,49,252,mL1-L2-2,mL1_L-2
92,49,401,mL1-L2-2,mL2_H-2
93,50,51,mL1-L2-20,mL1-L2-21
94,50,111,mL1-L2-20,mL1-L2-77
