id,name,x,y,z
1,F_9-10,-285.3807198998459,160.6950040883409,-291.0
2,F_L4_H_9-8,-352.49656441998695,118.95405380512118,-291.0
3,L4_H_F_9-1,-300.6957448239049,279.76181550774106,-291.0
4,L4_H_F_9-11,-323.66828220999344,163.0973609391737,-291.0
5,L4_H_F_9-12,-337.48183410228205,128.4133339052753,-291.0
6,L4_H_F_9-13,-399.7929649207575,117.1522861669966,-291.0
7,L4_H_F_9-14,-392.73604167143617,105.44079651918672,-291.0
8,L4_H_F_9-15,-378.6221951727936,98.38387326986542,-291.0
9,L4_H_F_9-16,-372.4661557425345,79.31516576638015,-291.0
10,L4_H_F_9-17,-232.5288691815245,84.72046868075392,-291.0
11,L4_H_F_9-18,-227.57400817668187,103.7891761842392,-291.0
12,L4_H_F_9-19,-214.0607508907474,112.49771976850803,-291.0
13,L4_H_F_9-2,-302.9479543715606,82.61840643627522,-291.0
14,L4_H_F_9-20,-210.15692100814417,118.35346459241298,-291.0
15,L4_H_F_9-21,-210.45721561449824,125.86082975126546,-291.0
16,L4_H_F_9-22,-399.9431122239346,111.1463940399146,-291.0
17,L4_H_F_9-23,-409.2522450209116,110.39565752402936,-291.0
18,L4_H_F_9-24,-200.3973463016359,116.5516969542884,-291.0
19,L4_H_F_9-25,-217.81443347017364,244.47719926113447,-291.0
20,L4_H_F_9-26,-205.5023546096556,238.62145443722952,-291.0
21,L4_H_F_9-27,-212.10883594944576,233.66659343238692,-291.0
22,L4_H_F_9-28,-366.7605582218066,265.94826361545256,-291.0
23,L4_H_F_9-29,-313.45826559395414,275.4075437156066,-291.0
24,L4_H_F_9-3,-305.2001639192164,97.78328405715722,-291.0
25,L4_H_F_9-30,-279.67512237911797,270.1523881044099,-291.0
26,L4_H_F_9-31,-381.32484662998047,245.8285249897279,-291.0
27,L4_H_F_9-32,-361.20510800425586,130.36524884657695,-291.0
28,L4_H_F_9-33,-240.4866762499081,133.96878412282612,-291.0
29,L4_H_F_9-34,-235.83210985141957,106.34168033824903,-291.0
30,L4_H_F_9-35,-365.5593797963902,103.4888815778851,-291.0
31,L4_H_F_9-36,-398.291491888987,241.77454780394757,-291.0
32,L4_H_F_9-37,-226.07253514491137,256.63913081847545,-291.0
33,L4_H_F_9-4,-297.993093366718,115.9511077415802,-291.0
34,L4_H_F_9-5,-309.55443571135083,116.5516969542884,-291.0
35,L4_H_F_9-6,-279.97541698547207,107.24256415731132,-291.0
36,L4_H_F_9-7,-325.6201971512951,104.84020730647852,-291.0
37,L4_H_F_9-9,-257.6034688120917,127.96289199574414,-291.0
38,mL1-L2-1,-305.2536100558659,288.6573351955308,-201.0
39,mL1-L2-10,-179.14912960893855,207.73743016759775,-201.0
40,mL1-L2-11,-208.1840849162011,249.14230726256983,-201.0
41,mL1-L2-12,-211.62017430167597,245.19080446927376,-201.0
42,mL1-L2-13,-182.92882793296087,203.7859273743017,-201.0
43,mL1-L2-14,-163.68672737430165,159.46037430167598,-201.0
44,mL1-L2-15,-167.29462122905028,159.28856983240226,-201.0
45,mL1-L2-16,-166.77920782122902,148.29308379888272,-201.0
46,mL1-L2-17,-163.8585318435754,145.71601675977655,-201.0
47,mL1-L2-18,-179.8363474860335,103.28031284916204,-201.0
48,mL1-L2-19,-182.92882793296087,105.68557541899445,-201.0
49,mL1-L2-2,-300.27128044692734,63.078067039106166,-201.0
50,mL1-L2-20,-192.893487150838,95.03369832402235,-201.0
51,mL1-L2-21,-191.0036379888268,93.31565363128492,-201.0
52,mL1-L2-22,-184.47506815642456,97.09535195530728,-201.0
53,mL1-L2-23,-222.78746480446927,84.21001675977655,-201.0
54,mL1-L2-24,-233.43934189944133,86.09986592178772,-201.0
55,mL1-L2-26,-234.29836424581003,80.77392737430169,-201.0
56,mL1-L2-27,-226.0517497206704,80.60212290502795,-201.0
57,mL1-L2-28,-298.3814312849162,69.43483240223466,-201.0
58,mL1-L2-29,-304.39458770949716,69.09122346368717,-201.0
59,mL1-L2-3,-222.1002469273743,270.1024525139665,-201.0
60,mL1-L2-30,-280.85737541899437,97.61076536312852,-201.0
61,mL1-L2-31,-278.1085039106145,115.1348212290503,-201.0
62,mL1-L2-32,-275.1878279329609,134.20511731843578,-201.0
63,mL1-L2-33,-278.6239173184357,142.27992737430168,-201.0
64,mL1-L2-34,-296.1479731843575,152.2445865921788,-201.0
65,mL1-L2-35,-310.06413519553075,150.52654189944136,-201.0
66,mL1-L2-36,-314.87466033519553,147.6058659217877,-201.0
67,mL1-L2-37,-321.4032301675977,142.27992737430168,-201.0
68,mL1-L2-38,-321.4032301675977,114.27579888268158,-201.0
69,mL1-L2-39,-317.9671407821229,97.78256983240226,-201.0
70,mL1-L2-4,-218.4923530726257,262.8866648044693,-201.0
71,mL1-L2-40,-310.4077441340782,65.82693854748605,-201.0
72,mL1-L2-41,-289.4475988826815,65.65513407821231,-201.0
73,mL1-L2-42,-349.9227720670391,42.805139664804486,-201.0
74,mL1-L2-43,-251.30700670391064,45.03859776536315,-201.0
75,mL1-L2-44,-376.2088558659218,80.4303184357542,-201.0
76,mL1-L2-45,-377.9269005586592,84.3818212290503,-201.0
77,mL1-L2-46,-368.1340458100559,85.41264804469276,-201.0
78,mL1-L2-47,-366.24419664804464,83.1791899441341,-201.0
79,mL1-L2-48,-332.05510726256983,105.1701620111732,-201.0
80,mL1-L2-49,-340.4735262569832,111.35512290502795,-201.0
81,mL1-L2-5,-226.2235541899441,261.8558379888268,-201.0
82,mL1-L2-50,-214.1972413407821,69.77844134078214,-201.0
83,mL1-L2-51,-220.89761564245808,59.813782122905046,-201.0
84,mL1-L2-52,-246.1528726256983,106.54459776536316,-201.0
85,mL1-L2-53,-269.51828044692735,104.48294413407822,-201.0
86,mL1-L2-54,-406.1028335195531,96.7517430167598,-201.0
87,mL1-L2-55,-409.36711843575415,94.86189385474862,-201.0
88,mL1-L2-56,-419.84719106145246,106.54459776536316,-201.0
89,mL1-L2-57,-415.8956882681564,107.40362011173188,-201.0
90,mL1-L2-58,-432.0453083798883,148.29308379888272,-201.0
91,mL1-L2-59,-437.1994424581005,148.46488826815644,-201.0
92,mL1-L2-6,-257.6637720670391,271.3050837988827,-201.0
93,mL1-L2-60,-436.1686156424581,160.49120111731844,-201.0
94,mL1-L2-61,-430.6708726256983,161.69383240223465,-201.0
95,mL1-L2-62,-426.0321519553072,208.76825698324024,-201.0
96,mL1-L2-63,-420.7062134078212,206.70660335195532,-201.0
97,mL1-L2-64,-415.03666592178774,236.77238547486036,-201.0
98,mL1-L2-65,-411.6005765363128,229.3847932960894,-201.0
99,mL1-L2-66,-154.92469944134078,135.5795530726257,-201.0
100,mL1-L2-67,-171.58973296089383,108.7780558659218,-201.0
101,mL1-L2-68,-175.88484469273743,111.35512290502795,-201.0
102,mL1-L2-69,-437.1994424581005,123.72504469273746,-201.0
103,mL1-L2-7,-391.3276491620112,263.4020782122905,-201.0
104,mL1-L2-70,-424.6577162011173,108.94986033519557,-201.0
105,mL1-L2-71,-422.0806491620111,111.69873184357544,-201.0
106,mL1-L2-72,-193.92431396648044,81.80475418994416,-201.0
107,mL1-L2-73,-390.9840402234637,71.15287709497208,-201.0
108,mL1-L2-74,-411.0851631284915,90.56678212290504,-201.0
109,mL1-L2-75,-181.21078324022344,196.226530726257,-201.0
110,mL1-L2-76,-173.479582122905,190.213374301676,-201.0
111,mL1-L2-77,-200.28107932960893,87.47430167597767,-201.0
112,mL1-L2-78,-427.7501966480447,185.05924022346372,-201.0
113,mL1-L2-79,-419.6753865921787,199.3190111731844,-201.0
114,mL1-L2-8,-384.9708837988827,260.8250111731844,-201.0
115,mL1-L2-80,-423.2832804469274,193.64946368715084,-201.0
116,mL1-L2-81,-413.8340346368715,98.12617877094974,-201.0
117,mL1-L2-9,-354.0460793296089,272.50771508379887,-201.0
118,mL1_H-1,-306.106786769049,288.0514507383343,-187.0
119,mL1_H-10,-156.68317306556406,151.2160408151211,-187.0
120,mL1_H-100,-166.6556461901949,149.417725989368,-187.0
121,mL1_H-101,-171.06969167158888,122.44300360307147,-187.0
122,mL1_H-102,-429.5365770821028,180.64301069108092,-187.0
123,mL1_H-103,-425.776464264619,121.2986214412286,-187.0
124,mL1_H-11,-162.89553337271116,151.37952398109866,-187.0
125,mL1_H-12,-168.453961015948,193.06773130537508,-187.0
126,mL1_H-13,-174.01238865918486,206.47335091553455,-187.0
127,mL1_H-14,-178.5899173065564,225.43739816893088,-187.0
128,mL1_H-15,-222.73037212049616,263.202009509746,-187.0
129,mL1_H-16,-440.9803987005316,145.3306468399291,-187.0
130,mL1_H-17,-435.25848789131715,149.25424282339043,-187.0
131,mL1_H-18,-433.2966898995865,193.23121447135264,-187.0
132,mL1_H-19,-431.00792557590074,206.14638458357945,-187.0
133,mL1_H-2,-299.07701063201415,57.86715304193739,-187.0
134,mL1_H-20,-424.30511577082103,229.0340278204371,-187.0
135,mL1_H-21,-411.55342882457177,246.69020974601295,-187.0
136,mL1_H-22,-406.97590017720023,249.632906733609,-187.0
137,mL1_H-23,-400.6000567040756,252.7390868871825,-187.0
138,mL1_H-24,-398.8017418783225,249.30594040165383,-187.0
139,mL1_H-25,-403.86972002362666,246.52672658003544,-187.0
140,mL1_H-26,-408.93769816893086,239.00650094506793,-187.0
141,mL1_H-27,-414.0056763142351,230.99582581216777,-187.0
142,mL1_H-28,-419.89107028942703,224.78346550502067,-187.0
143,mL1_H-29,-186.92755877141167,224.293016007088,-187.0
144,mL1_H-3,-265.3994784406379,274.3188647962197,-187.0
145,mL1_H-30,-161.2607017129356,144.6767141760189,-187.0
146,mL1_H-31,-254.44610632014175,44.29805026580035,-187.0
147,mL1_H-32,-215.04666331955107,64.24299651506203,-187.0
148,mL1_H-33,-210.46913467217956,68.82052516243355,-187.0
149,mL1_H-34,-200.98711104548136,80.75479627879504,-187.0
150,mL1_H-35,-186.11014294152392,92.19861789722388,-187.0
